brigsclark,Work on your manners&amp; humility in evrything u do. #stephenvillena #PHVoteDuterte  https://t.co/ny0Ieg9ZnW
chikoi,masyado naman kasi na eexcite si kuya sa sagot kaya demand the answer agad #stephenvillena
chikoi,"masyadong nagmamagaling wala naman sense yung tanon #stephenvillena 
#uplb
#du30"
Porsche_SG,@VillenaStephen gago! People of the Philippines versus #StephenVillena https://t.co/fxwdTBGbCI
PMabolbol,OMG!! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>Di ata uso sa UPLB ang salitang pag-galang! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #StephenVillena
whoisTANCHI,"Kids are sometimes cool. But sometimes, pa-cool. #StephenVillena"
iamprettylily08,"WTF?! #stephenvillena

Pasikat lang kuya?

1.If you are to ask something, make sure you wait for the complete... https://t.co/RxiufwGaxq"
kaycdelarosa,"StephenVillena yan ba ang pinapag aral sa UP gamit ang taxes na binabayad ko sa govt? Di marunong makinig, bopols ang tanong at napaka RUDE?"
bingzhie,Kanina nakitkita ko pa acft ni #stephenvillena ng UPLB ah.. Ngaun la na.. Coward mo naman.. #stephenvillenaRUDE
Mthyll,#StephenVillena Sikat ka na po. Hahahahahaha! Bastusan pa more. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0081>
